scheme_name,state,category,income_limit,education_level,benefits,documents_required,deadline
Bihar Student Credit Card Scheme,Karnataka,"Education & Learning, Social welfare & Empowerment",,State,"The eligible students will get the following benefits under this scheme:- A maximum loan amount of â‚¹4 lakh. Loan can be availed for polytechnic, technical and general courses. This assistance may be utilized for purchasing of books and laptops or pay any kind of fees. Repayment of the loan starts once the course has been completed and student have secured a job. The interest rate of the loan is 1% for Divyang, transgender, and girl students. The recovery procedures are flexible since the loan is government-owned.","Filled common application form Aadhar card Pan card Xth and XIIth mark sheet and certificate Copies of the letter conferring scholarship (If available) Approved course structure Proof of admission Fee schedule Photographs Previous yearâ€™s income certificate Previous two yearâ€™s income tax return Previous six monthsâ€™ bank statement Proof of residence (Passport, ID, driving license, Voter ID) Tax receipt",
Biju Patnaik Bravery Award,Karnataka,Social welfare & Empowerment,,State,"The award shall comprise of a cash award of â‚¹1,00,000/-, one silver medal, and a scroll. The awardee shall be invited to receive the award in person. The awardee shall be given TA/DA at the rate of 1st Class Rail/Bus fare and arrangements for his/her stay at Bhubaneswar shall be made by the Department. Note 01: Canvassing for the award in any form is prohibited. Note 02: The award can also be given posthumously to the next of kin of the awardee. Note 03: In case of involvement of more than one person in the selected act of bravery, the award money will be shared amongst all. Note 04: It will not be binding on the Department of Sports & Y.S. to confer the award every year. In case of non-availability of suitable persons for the award, the award shall not be conferred for the respective year.","Identity proof Three Passport size photographs First Information Report (FIR) or Police Diary filed with the Police Station Newspaper/Magazine Clippings Supporting photograph, if any Recommendation letter, if any Adequate documentary evidence in support of the act of bravery",
Biju Patnaik Sports Award for Best Contribution to promotion of Sports and Games,Karnataka,Sports & Culture,,State,"The award shall be presented every year subject to the availability of a suitable candidate, which will carry a cash award of â‚¹1,00,000/-. A statue, a scroll of honor, and a blazer with a tie shall be given along with all the Cash Awards. The Awardees shall be invited to receive the awards in person. They shall be given T.A. and D.A. at the rate admissible to a Grade 'A' Officer. Note: Canvassing for the award in any form is prohibited. The award can also be given posthumously to the next of kin of the awardee (In the case of the applicant). In case of selection of more than one person/organization for an award, the award money will be shared amongst the awardees. It will not be binding on the Department of Sports & Youth Services to confer the award every year. In case of non-availability of suitable persons/organizations for the award, the award shall not be given for the respective year.",For Individual: Identity proof. Three Passport size photographs. Proof of Residence. Proof of age. The details of the achievement along with supporting documents/papers. Adequate documentary evidence in support of the claim for the award. For Organization: Address Proof of Organization. Organization's Registration Number. The details of the achievement of the organization along with supporting documents/papers. Adequate documentary evidence in support of the claim for the award.,
Biju Patnaik Sports Award for Excellence in Coaching,Karnataka,Sports & Culture,,State,"The award shall be presented every year subject to the availability of suitable candidates, which will carry a cash award of â‚¹1,00,000/-. A statue, a scroll of honour, and a blazer with a tie shall be given along with all the Cash Awards. The Awardees shall be invited to receive the awards in person. They shall be given T.A. and D.A. at the rate admissible to a Grade 'A' Officer. Note 01: Canvassing for the award in any form is prohibited. Note 02: The award can also be given posthumously to the next of kin of the awardee. Note 03: In case of selection of more than one person for an award, the award money will be shared amongst the awardees. Note 04: It will not be binding on the Department of Sports & Youth Services to confer the award every year. In case of non-availability of suitable persons for the award, the award shall not be given for the respective year.",Identity proof Three Passport size photographs Proof of Residence Details of Career as a Coach (Supported documents) Details of Qualification as a Coach (Necessary documents) Details regarding the Sports person(s) who have achieved excellence at National/International recognized competitions under his/her Coaching and guidance Adequate documentary evidence in support of the claim for the award,
Biju Patnaik Sports Award for Excellence in Sports Journalism,Karnataka,Sports & Culture,,State,"The award shall be presented every year subject to the availability of suitable candidates, which will carry a cash award of â‚¹1,00,000/-. A statue, a scroll of honor, and a blazer with a tie shall be given along with all the Cash Awards. The Awardees shall be invited to receive the awards in person. They shall be given T.A. and D.A. at the rate admissible to a Grade 'A' Officer. Note: Canvassing for the award in any form is prohibited. The award can also be given posthumously to the next of kin of the awardee. In case of selection of more than one person for an award, the award money will be shared amongst the awardees. It will not be binding on the Department of Sports & Youth Services to confer the award every year. In case of non-availability of suitable persons for the award, the award shall not be given for the respective year.","Identity proof Three Passport size photographs Proof of Residence Attested photocopy of Accreditation Certificate, if applicable Details of Sports competition/Championships of State, National & International importance covered by the applicant including profiles of Sports persons (Supporting documents) Adequate documentary evidence in support of the claim for the award",
Biju Patnaik Sports Award for Lifetime Achievement in Promotion of Sports & Games,Karnataka,Sports & Culture,,State,"The award shall be presented every year subject to the availability of a suitable candidate, which will carry a cash award of â‚¹3,00,000/-. A statue, a scroll of honour, and a blazer with a tie shall be given along with all the Cash Awards. The Awardees shall be invited to receive the awards in person. They shall be given T.A. and D.A. at the rate admissible to a Grade 'A' Officer. Note 01: Canvassing for the award in any form is prohibited. Note 02: The award can also be given posthumously to the next of kin of the awardee. Note 03: In case of selection of more than one person for an award, the award money will be shared amongst the awardees. Note 04: It will not be binding on the Department of Sports & Youth Services to confer the award every year. In case of non-availability of suitable persons for the award, the award shall not be given for the respective year.","Identity proof Three Passport size photographs Proof of Residence Proof of age Performance in detail in the field of Sports & Games in previous years at the State/National/International level supported with photocopies of documents Disability Certificate, (If applicable) Adequate documentary evidence in support of the claim for the award",
Biju Patnaik Sports Award for Outstanding Performance in Sports and Games for the Year,Karnataka,Sports & Culture,,State,"The award shall be presented every year subject to the availability of a suitable candidate, which will carry a cash award of â‚¹2,00,000/-. A statue, a scroll of honour, and a blazer with a tie shall be given along with all the Cash Awards. The Awardees shall be invited to receive the awards in person. They shall be given T.A. and D.A. at the rate admissible to a Grade 'A' Officer. Note 01: Canvassing for the award in any form is prohibited. Note 02: The award can also be given posthumously to the next of kin of the awardee. Note 03: In case of selection of more than one person for an award, the award money will be shared amongst the awardees. Note 04: It will not be binding on the Department of Sports & Youth Services to confer the award every year. In case of non-availability of suitable persons for the award, the award shall not be given for the respective year.","Identity proof Three Passport size photographs Proof of Residence Performance in detail in the field of Sports & Games (self-attested photocopies of certificates and testimonials should be attached including State/National/International participation) Disability Certificate, (If applicable) Adequate documentary evidence in support of the claim for the award",
Biju Pucca Ghar Yojana,Karnataka,Social welfare & Empowerment,,State,"Biju Pucca Ghar Yojana (Normal):  1. Incentive to the beneficiaries, officials, & CBOs/NGOs involved in the implementation of Biju Pucca Ghar Yojana, Pradhan Mantri Awaas Yojana (Gramin), or any other State-funded Rural Housing Schemes for early completion of houses. For completion of the house and IHHL within 4 months of receipt of the 1"" instalment, the incentive of â‚¹ 20,000/- will be paid to the beneficiary. For completion of the house and IHHL within 6 months of receipt of the 1"" instalment, the incentive of â‚¹ 10,000/- will be paid to the beneficiary. The incentive amount is subject to revision by the government from time to time. 2. Award for Excellence in rural housing to State/District/Block teams and officers/officials involved in implementation. The eligibility, type, category of the awards and other modalities shall be decided by the Department from time to time. 3. The expenditure required for conducting the Award distribution ceremonies at various levels. 4. Preparation of IEC material. 5. Imparting habitat and housing literacy to beneficiaries. 6. Payment of honorarium/incentives to SHGs, CRPs, & CBOs for facilitating the construction of Biju Pucca Ghar Yojana Houses. 7. Training of officials. 8. Cost of the engraved logo of Biju Pucca Ghar Yojana to be installed by the beneficiaries. 9. Others, with approval of PR & DW departments. 10. These amounts can be paid through RTGS/NEFT/other electronic modes of payment. ï»¿ Biju Pucca Ghar Yojana (Special): The unit cost under Biju Pucca Ghar (Special) for the construction of a new Pucca house is â‚¹ 1,20,000/- for non-IAP districts and â‚¹ 1,30,000/- for IAP districts. This can be revised by the P.R. and D.W. Department from time to time . ï»¿ Release of Installments:  The number and amounts of installments may be revised by the Government from time to time. At present, the release of instalments will be as follows: ï»¿ Instalments Level Amount (IAP District) Amount (Non-IAP District) 1st Instalment On the date of issuance of the work order â‚¹ 20,000/- â‚¹ 20,000/- 2nd Instalment On completion of the plinth â‚¹ 35,000/- â‚¹ 30,000/- 3rd Instalment On completion of up to roof level â‚¹ 45,000/- â‚¹ 40,000/- 4th Instalment After completion of the house in all respects, including the sanitary latrine and beneficiary starts living in the house â‚¹ 30,000/- â‚¹ 30,000/- ï»¿ Total â‚¹ 1,30,000/- â‚¹ 1,20,000/- ï»¿ For issuance of a work order, geo-tagged photographs of the beneficiary with her/his Kutcha house and geo-tagged photographs of the beneficiary with the proposed site of construction should be collected. All photographs for inspection of houses should be taken and uploaded using AwaasApp developed by Gol or any other such App developed by the State Government. The photograph of the beneficiary, her/his Aadhaar UID/ EID, and mobile number should be kept in the case record and uploaded in AwaasSoft. In case the beneficiary does not have a mobile connection/Phone, her/his family/relative/friendâ€™s mobile number provided by the beneficiary should be recorded. The 2%, 3 & 4"" instalments will be credited to the beneficiary account by the BDO within a week of receipt of the report of the eye estimation, spot verification and Geo-tagged photographic evidence of the stage of construction by the official tagged with the beneficiary concerned. The beneficiary will fix the engraved logo of Biju Pucca Ghar Yojana on the front wall of the house indicating the name of the beneficiaries, year of sanction unit cost etc. after which the 4"" instalment will be released. Funds will be credited to the beneficiary account through Direct Account Transfer using the Public Financial Management System (PFMS).",List of required documents Aadhaar Card Bonafide certificate Voter ID card Residence certificate Address Proof Identification Proof BPL Certificate EWS Certificate Passport size photograph ï»¿,
Biju Swasthya Kalyan Yojana,Karnataka,Health & Wellness,,State,"Families having BSKY Smart Health Card/ NFSA/ SFSS card can avail of cashless IPD and Day care treatment for the procedures for which the hospital is empaneled under BSKY within or outside the State up to the annual amount covered.  The scheme provides cashless health coverage of â‚¹5,00,000 per annum per family and an additional â‚¹5,00,000 for women members of the family after exhaustion of the initial limit at empaneled private hospitals within and outside Odisha. PACKAGES The updated package list under BSKY, as modified from time to time is available on the website www.bsky.odisha.gov.in. About 3% of the total packages are reserved for Government health institutions. About 10% of the packages are under the referral category, which can be availed only on referral by the appropriate authority. 1. Reserved Packages Treatment under these packages is only available in Govt. healthcare facilities. Treatment for minor ailments, and diseases under National Health Programs such as Management of superficial burns, minor injuries, Malaria, Typhoid fever, Gastroenteritis, Diarrhea, Dysentery, Tuberculosis, Urinary Tract Infection, Heat stroke, and surgeries for hydrocele, Abscess drainage, Lipoma and cyst excision and procedures like Dilatation and Curettage and MTP are reserved for Government facilities. 2. Referral Package The updated list of referral packages is available on the website www.bsky.odisha.gov.in. 3. Open Packages Any beneficiary can directly walk into any empaneled private hospital and avail of the treatment under this category of packages if he is found suitable for that package by the treating doctor of the empaneled hospital.","For Cashless IPD and Day Care Treatment BSKY Smart Health Card / National Food Security Act (NFSA) Card / State Food Security Scheme (SFSS) Card For getting â‚¹5,00,000 health coverage per annum per family and â‚¹10,00,000 health coverage per annum for women members of the family Biju Krushak Kalyan Yojana (BKKY) Card, or Below Poverty Line (BPL) Card, or Antyodaya Anna Yojana (AAY) Card NOTE: For low-income families who do not have these cards, a valid income certificate (annual income below â‚¹ 50,000/- in rural areas and below â‚¹ 60,000/- in urban areas) will be required to be produced at the Empaneled Hospital.",
Biju Yuva Sashaktikaran Yojana,Karnataka,Education & Learning,,State,"An amount of â‚¹ 30,000/- per student is transferred directly to the bank accounts of 15,000 meritorious +2 students through Direct Benefit Transfer (DBT) for the purchase of laptop.",Aadhaar Card of the Student Residence Certificate of the Student Caste Certificate (if applicable) Passbook of Bank Account with Account Number and IFSC Code of the Bank Branch Passport Size Photograph of Student ID Card of the Student Marksheet / Passing Certificate of Class 12th. Admit Card / Hall Ticket of CHSE Exam or Sanskrit Exam.,
Bima Yojana - Direct Benefit to Artisan,Karnataka,"Sports & Culture, Banking,Financial Services and Insurance",,Central,"Assistance from the government may be either in the form of monthly allowance, or lump sum grant or both. In no case however shall the assistance exceed â‚¹ 8,000/- (Rs. Eight thousand only) per month.",Aadhaar Card Artisan ID Proof Birth Certificate Bank Account Details Passport Size Photograph,
Bina Mulya Samajik Suraksha Yojana,Karnataka,Social welfare & Empowerment,,State,"Provident Fund: The State Government will pay â‚¹ 55/- ( â‚¹ 25/- + â‚¹ 30/-) including the beneficiary and State Grant) per month. On retirement or death, the total amount along with interest is refunded. Health And Family Welfare: Medical Expenses Beneficiaries and their family members receive financial assistance for hospitalization and outdoor treatment of ailments covered under WBHS 2008. The maximum annual assistance is â‚¹ 20,000/-. Benefits include full coverage for clinical tests, medicine, and hospitalization. In case of hospitalization, the beneficiary receives compensation for loss of employment. Surgical Expenses Beneficiaries and their family members receive financial assistance for any kind of surgery. The maximum annual assistance is â‚¹ 60,000/-. Benefits include full coverage for clinical tests, medicine, and hospitalization. In case of hospitalization, the beneficiary receives compensation for loss of employment. Additional Provisions For accidents requiring hospitalization for five or more days, the beneficiary receives compensation for loss of employment. Claims for medical expenses, surgical expenses, and accident-related loss of employment are admissible at government or empaneled hospitals. Payment for loss of employment is applicable only to the registered beneficiary, not to family members. A financial year is considered a year for availing benefits. Death and Disability: To provide social security to the nominees of the beneficiaries under the Yojana, the following benefit would be provided:- In cases of death of the beneficiary arising out of an accident : â‚¹ 2,00,000/- only In cases of normal death of the beneficiary : â‚¹ 50,000/- only : â‚¹ 50,000/- In cases of minimum 40% disability of the beneficiary. The disability should be certified by a Government Hospital. In cases of total and irrecoverable loss of both eyes or loss of use of both hands or feet or loss of sight of one eye and loss of use of hand or foot : â‚¹ 2,00,000/- In cases of total and irrecoverable loss of sight of one eye or loss of use of one hand or foot : â‚¹ 1,00,000/- Education : Assistance for education will be provided in the following category as per scale given below: Class XI - â‚¹ 4,000/- pa Class XII  - â‚¹ 5,000/- pa Under training at ITI - â‚¹ 6,000/- pa UG (Arts/Science/Commerce) - â‚¹ 6,000/- pa PG (Arts/Science/Commerce) - â‚¹ 10,000/- pa Polytechnic - â‚¹ 10,000/- pa Medical / Engineering - â‚¹ 30,000/- pa Assistance for completion of UG education or equivalent Skill Development Studies @ â‚¹ 25000/- each for up to two daughters will be provided. This benefit will however be admissible if the daughter remains unmarried till completion of studies ï»¿",Photo (mandatory). Signature(mandatory). Aadhar Card/Voter ID Card. Epic Document. Bank Passbook (mandatory). ï»¿,
Bio Control Laboratory and Pesticides Testing Laboratory Scheme,Karnataka,"Agriculture,Rural & Environment",,State,Pattern of Assistance: Distributions of bio agents to farmers. Type of Assistance and Entitlement (If any): Free distribution to popularise the method.,Passport-size photograph Identity Proof Documents proof of having sufficient available cultivable land Any other document as required,
Biotechnology Career Advancement And Re-orientation (BioCARe) Programme For Women Scientists,Karnataka,"Education & Learning, Women and Child",,Central,"Date of Commencement of Project & its Duration The duration of the project is of three (3) years and is specified in the sanction order. The project starting date will be effective from the date on which the candidate joins the Institution but within 45 days from the date of issuance of the sanction order. The date of receipt of the grant should be intimated by the Institution authorities/Mentor and Nodal officer to this Department. It will, in no case be later than 15 days after the receipt of the grant by the Institute. The successful candidates have to join their host institution within 45 days from the date of issuance of the sanction order, or else it would be withdrawn. ï»¿ Project Cost & Fellowship to Project Investigator Project Cost & Fellowship: Based on the applicant's qualifying degree, the budget support is provided in the following two categories: ï»¿ Category: Category-I Qualifying Degree: Ph.D. in any discipline of Life Sciences or allied areas or interdisciplinary sciences /MD/MDS/M.V.Sc. Research Grant: Restricted up to â‚¹ 60,00,000 (includes consolidated Fellowship of â‚¹ 68,000/month). ï»¿ Category: Category-II Qualifying Degree: M.Tech. in Biotechnology or allied areas / MPharma/ equivalent degree. Research Grant: Restricted up to â‚¹ 40,00,000 (Includes consolidated Fellowship of â‚¹ 50,000/month).","Aadhaar Number Proof of Identity (Govt. issued) Proof of Address (Govt. issued) Brief About the Proposal Brief of the Mentor Caste Certificate (If SC/ST/OBC) Disability Certificate (if applicable) DOB Certificate (Birth Certificate, etc) Proof of the All the Educational Qualification (Degree Certificate, and Marksheets) Proof of passing any National level examinations (NET-CSIR/NET-UGC/GATE/DBTJRF/ /ICAR-JRF/IIT-JAM, etc.) (if applicable) Information regarding Achievements of the Applicant (e.g. publications, dissertations, patents, books, chapters, etc.) Declaration by the Candidate",
Biotechnology Ignition Grant Scheme,Karnataka,Business & Entrepreneurship,,Central,"Support provided to grantees under the scheme: 1. Under the BIG scheme, BIRAC provides a grant-in-aid of up to INR 50 lakhs (approx. USD 75,000) for a period of 18 months. 2. BIG Partners and BIRAC provide continuous mentoring support to the grantees, including but not limited to the following: â€¢ Technical Mentoring (Connect with Technical Experts) â€¢ IP Support â€¢ Legal Support â€¢ Networking and Outreach â€¢ Trainings â€¢ Regulatory Advice â€¢ Business Mentoring â€¢ Connect with Investors â€¢ Any other assistance on a case basis",Documentary evidence for verification by BIG Partners: Before the Technical Expert Panel (TEP) Letter of commitment from Scientific Advisors/ Mentors to serve as honorary advisors Letter of intent of key members of the technical team Letter of interest/intent from the incubator Evidence of access to the unique facility(ies) needed to execute a project Evidence of access to key samples needed to execute the project (eg: bio-fluids) Any other relevant document Post Expert Selection Panel (ESC): Letter of acceptance or MoU with incubator Formal agreements/ MoUs with other key facility(ies) providers/ suppliers Any other due diligence documents requested on a case-to-case basis by BIG Partners (e.g. technology in licensing; IP rights clarification; NoC from Institute etc.) Undertaking by the applicant that the project with the same objectives and deliverables has not received funding from any other agency. Any other relevant document,
Biotechnology Post-Doctoral Fellowship,Karnataka,Education & Learning,,State,"The Post-Doctoral Fellowship carries an amount of â‚¹32,000/- per month + HRA (10%) with an annual contingent grant of â‚¹50,000/-. Candidates who have submitted a thesis for a PhD and are awaiting the award of a PhD, will be paid only â‚¹22,000/- per month + 10% HRA.","1.	Identity proof of applicant 2.	Proof of age 3.	PhD Certificate 4.	Educational certificates/P.G. Mark list and Certificate 5.	Residence proof /Proof of Kerala nativity 6.	Best 3 reprints 7.	Experience certificate 8.	Details of the R&D Project 9. Declaration by the Applicant ï»¿ 10.	The applicant should furnish an undertaking to the effect that he/she is not availing financial assistance stipend from any other source. 11. Consent from Scientist Mentor ï»¿ 12. Endorsement from the Head of Host Institution ï»¿ 13.	Any other document, if required",
Biotechnology Young Entrepreneur Award,Karnataka,"Science, IT & Communications, Business & Entrepreneurship",,State,"The winning teams will be given cash awards by the Kerala Biotechnology Commission. Cash award for winners - first prize â‚¹1,00,000/-, second prize â‚¹50,000/- and third prize â‚¹25,000/-. The awardees will be encouraged to establish start-ups through facilitation and support after evaluation and recommendation by an Expert Committee.","1.	Identity proof of applicant 2.	Endorsement certificate 3.	Educational certificates 4.	Proposed Business Plan 5.	Summary of proposed research work 6.	Consent letter 7.	Certificate from head of the institution 8.	Any other document, if required",
Biponi Scheme,Karnataka,Business & Entrepreneurship,,State,"This scheme aims at Providing financial assistance for participation in Exhibition /Trade Fair/ Melas within the State, outside the state and outside the country. Assistance at Rs. 5,000/- as stall rent for participation inside the state. Assistance at Rs. 15,000/- as stall rent for participation outside the state. DA at 50/- per stall for actual fair days for participating units within the district. DA at 600/- per stall for actual fair days for participating units outside the district. DA at 500/- per stall for actual fair days for participating units outside the State. Up and down 2nd class Railway Fair for two people outside the state. ï»¿","List of the required document One Pass Port size photograph. Copy of Industry registration. Caste Certificate, as applicable. Training Certificate, if available. Copy of cancelled cheque with the name of the proprietor printed. Quotation from the fair organization regarding rent to be submitted.",
Birsa Awas Nirman Yojana,Karnataka,Housing & Shelter,,State,"Financial Support: Beneficiaries receive â‚¹1,31,500/- for constructing houses under the scheme: First Installment: â‚¹40,000/- upon approval of the house. Second Installment: â‚¹75,000/- after window sealing. Third Installment: â‚¹16,500/- upon completing the house, including painting. ï»¿ Incentives for Monitoring: Panchayat Volunteers or SHGs receive â‚¹500 per house in phases: â‚¹100/- after plinth completion. â‚¹100/- after lintel level completion. â‚¹100/- after roofing completion. â‚¹200/- after full house completion.",Aadhaar Card. Proof of Residence. Caste Certificate (issued by a competent authority). Bank Passbook.,
Birsa Harit Gram Yojana,Karnataka,"Agriculture,Rural & Environment",,State,Plantation of fruit-bearing and fodder trees on common land and private land. Sustainable livelihood generation for marginalized families. Employment guarantee of 100 days under MGNREGA. Usufruct rights over the plantation for beneficiaries. ï»¿ ï»¿,Identity Proof Caste Certificate (if applicable) BPL Certificate (if applicable) MGNREGA Job Card,
Block Level Institute for Rural Skill Acquisition (BIRSA),Karnataka,Skills & Employment,,State,Localized Training: Skill development centers set up at block levels ensure easy accessibility. Free Materials: Beneficiaries receive handbooks and essential materials at no cost. Diverse Training Trades: Candidates can choose trades based on interest with proper counseling. Employment Opportunities: Post-training support for jobs and self-employment.,Aadhaar Card. Educational Certificate. Residential Certificate. Passport-sized Photograph.,
Boarding House Stipend Scheme (Tripura Govt.),Karnataka,"Social welfare & Empowerment, Housing & Shelter",,State,"Boarding House Stipend @ Rs. 65/- per day per student  (including LPG subsidy, sweeping, cleaning Rs.1/- per day per student) is provided for 322 days (10 months) in an academic year to the students from Class-I to Class-XII who are given accommodation in Govt. run hostel and approved  NGO run Boarding Houses. ï»¿ Types of Hostels under the Tribal Welfare Department: 1. State Govt. run ST Hostels: 161 (Boys: 100 & Girls: 61) 2. TTAADC run ST Hostels: 43 3. TTWREIS run ST Hostels: 8 4. NGO-run ST Hostels: 143",Caste certificate Ration Number Aadhaar Number Parent's Mobile Number School admission Document / School ID Card Income Certificate.,
Boneej Scheme,Karnataka,Social welfare & Empowerment,,State,"Benefits It is proposed to provide Rs. 25,000 ( Rupees twenty-Five thousand ) as a grant to the industries located in Rural areas only where the annual turnover is less than Rs.5 lakh","One Pass Port size photograph. Copy of Industry registration. Caste Certificate, as applicable. Identity roof Address proof. Training Certificate, if available. Copy of the First page of the Bank Pass Book.",
Book Allowance to the Wards of Ex-Servicemen/Widows (Sainik Welfare),Karnataka,Education & Learning,,State,"Book Allowance (in â‚¹ per annum) as per the Level of Education School / School for Special Children / Diploma in Polytechnic: 2,000 Bachelor Degree: 3,000 Master Degree: 4,000 Professional Course (MBBS/BE/BTech) (Bachelor of Medicine and Bachelor of Surgery / Bachelor of Engineering / Bachelor of Technology): 4,000 *The rate listed above or the actual cost of the fee, whichever is less, is reimbursed. *The amount, as decided by the Management Committee, is credited to the beneficiaryâ€™s Bank Account through RTGS/ NEFT.","Identity Card of the ESM / Widow of the ESM. Discharge Certificate of the ESM. Proof of Successful Completion of the Course. In the case of 'Management Quota', a Certificate from the Institute. Details of Fees Paid (Original receipt). Where the fee is collected in lump sum, a certificate showing the breakdown of fees indicating the category, signed by the head of the institution. Declaration. Birth Certificate of the Ward (if not already registered with the DSW). Study Certificate of the Ward (if not already registered with the DSW). First Page of Bank Passbook.",
Book Bank Scheme: I,Karnataka,Education & Learning,,State,Free Textbooks Access: Students receive textbooks for their entire course duration at no cost from the library. Note: On completion of the course the students should return the books to the Library. ï»¿,Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate (Adi Dravidar/Tribal). Proof of enrollment in a professional course. Proof of Scholarship (among Adi Dravidar/Tribal students; received from the Government of India). Any other documents (if required).,
Book Bank Scheme: II,Karnataka,Education & Learning,,State,Free Textbooks Access: Books are shared between two (2) students at free of cost. Note: On completion of the course the students should return the books to the Library. ï»¿,Proof of identity (Aadhar card or any other document as directed by the authority). Community certificate (Adi Dravidar/Tribal). Proof of enrollment in a professional course. Proof of Scholarship (among Adi Dravidar/Tribal students; received from the Government of India). Any other documents (if required).,
Book Binder Training by Department for the Welfare of Differently Abled Persons,Karnataka,Skills & Employment,,State,Free book binding training every year is imparted in government higher secondary schools for the visually impaired.,National Identity Card of the Differently Abled. Certificate for Educational Qualification. Community Certificate. Transfer Certificate. Aadhaar Card. Ration Card.,
Border Areas Development Department,Karnataka,Transport & Infrastructure,,State,"(A) Roads and Bridges (i) Construction and up-gradation of roads. (ii) Construction of bridges and culverts. (iii) Construction of Foot Suspension Bridges. (iv) Construction of retaining walls to protect the roads in hilly areas. (B) Health infrastructure: (i) Construction of houses for Government doctors, paramedics and other Government officials engaged in the health sector in border census villages/ habitations. (ii) Building infrastructure (SHC/PHC/CHC) including their up-gradation. (iii) Setting up of Government mobile dispensaries/ambulances. (iv) Purchase of medical equipment in Government Hospitals. (C) Education infrastructure: (i) Construction of houses for Government teachers and other government officials engaged in education sector. (ii) Construction of Primary/ Middle/ Secondary/ Higher secondary school buildings and their up-gradation/addition such as construction of additional classrooms, computer rooms and laboratories. (iii) Construction of hostels/ dormitories in Secondary/ Higher Secondary school. (D) Agriculture infrastructure (I) Construction of minor irrigation works. (ii) Water conservation programs. (E) Sports infrastructure: (I) Construction/ development of play fields. (ii) Construction of a mini stadium. (iii) Construction of indoor courts for table tennis/ badminton/ basketball / handball. (F) DWS projects: Drinking Water Supply projects in Government schools /census villages/ census towns. (G) Social Sector infrastructure (I) Construction of anganwadi center. (ii) Construction of a community center. (H) Development of Model villages â€” the State / UT Government may undertake multiple infrastructure    development works/projects in a village on a hub and spoke model. (I) Construction of infrastructure for Small Scale Industries. (J) Maintenance of assets created under BADS. (K) Administrative Expenditure. ï»¿ The estimates of each work/project proposed under BADS should be checked and approved by the Competent Technical Authority in the State/UT and an 'Abstract of Cost' of each work/project, duly signed by appropriate technical authority should be furnished by the State/UT Government along with the APP.","The Central Government is supplementing the efforts of the State Governments in this direction through special Central assistance for special area programs such as Hill Area Development Program (HADP) and Western Ghats Development Program (WGDP). Broadly speaking, development planning is of two types: the central planning and the indicative planning: the former is practiced in a centralized economy where the role of the state is dominant in the socio-economic life of the people.",
Border Areas Scholarship,Karnataka,Education & Learning,,State,Giving financial assistance,Aadhar Card. DOB Certificate. Residential Certificate. Educational Certificates. Previous Yearâ€™s Academic Certificates. Latest Passport Size Photograph. Admission Proof. Bank Account Details. Photo Id Proof. Email ID and  Mobile Number. ï»¿,
Braille Watches by Welfare of Differently Abled Persons Department,Karnataka,Social welfare & Empowerment,,State,Free distribution of braille watches.,National Identity Card of the Differently Abled Person. Any Other Documents If Required.,
Breed Multiplication Farm Entrepreneurship,Karnataka,"Agriculture,Rural & Environment",,State,"Construction of cattle sheds. Procurement of elite bull. Purchase of relevant equipment, mothers etc. Establish breed multiplication farms and produce elite heifers using sex-sorted semen or IVF technology. Maximum Subsidy will not exceed Rs 2.00 Cr. ï»¿ Indicative cost of the model project for the establishment of Breed Multiplication Farm S No Particulars Total Cost (Rs in lakh) 1 Purchase of cows in first lactation/ 2nd lactation 200 2 Construction of cow sheds 10 sq. meter per cow (sheds to house 200 cows and its followers 100 3 Construction of isolation shed 2.5 4 Administration block 20 5 Feed 8 fodder store room 40 6 Tractor 75 HP, with agriculture implements. 10 7 Dairy equipment (BMC, stainless steel Milk cans, digital milko tester, deep freezer etc.) 5 8 Shed for Agri implements 22.5 9 Chaff cutter (electric) 1 ï»¿ Total 401 ï»¿ ï»¿","Copy of Certificate of Incorporation and Partnership Deed, if any. For individuals, a copy of their Aadhar card along with a Bank statement. Proof of their activity: Certificate of experience in breeding and rearing of dairy animals from the local Govt. Veterinarian. copy of ownership document/lease deed. Commitment letter from the supplier of feed and fodder. Affidavit (Annexure-III). ï»¿ Note: Download forms from here .",
Buffalo Entrepreneurship Development Scheme,Karnataka,"Agriculture,Rural & Environment",,State,"Subsidy Payment for beneficiary opted for Shed: Phase Time SC/ST/Women/PwD/ Transgender General 1st Phase After completion of the shed and purchase of 1st milch graded Murrah she Buffalo & completion of its insurance 50% of the subsidy amount â‚¹59,100/- â‚¹49,250/- 2nd Phase After the purchase of 2nd milch graded Murrah she Buffalo & completion of its insurance-50% of the subsidy amount â‚¹59,100/- â‚¹49,250/- ï»¿ Subsidy Payment for beneficiary not opted for Shed: Phase Time SC/ST/Women/PwD/ Transgender General 1st Phase Purchase of 1 milch graded Murrah she Buffalo & completion of its insurance for 3 years 50% of the subsidy amount â‚¹44,700/- â‚¹37,250/- 2nd Phase After the purchase of 2nd milch graded Murrah she Buffalo & completion of its insurance for 3 years- 50% of the subsidy amount â‚¹44,700/- â‚¹37,250/- ï»¿ NOTE: The beneficiaries are eligible for a back-ended subsidy of 60% for SC, ST, PWD, Women & Transgender categories and 50% for the General category. The subsidy shall be released to the beneficiary's bank account through DBT mode in 2 phases.",Passport-size Photograph Aadhaar Card Bill/Money Receipt Disability Certificate Bank Detail Any Other Documents if Required,
